"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","ecp"
"36",494985,"E02001045","E02001085",4,0,0,0,2,0,0,1,0,1,0,0,12119.2791489777,0.0265738233018646,0.106295293207459,-0.893704706792541
"37",494986,"E02001045","E02001086",4,0,0,0,1,1,0,2,0,0,0,0,12709.7017981392,0.0236140556947106,0.0944562227788424,0.0944562227788424
"38",494987,"E02001045","E02001087",1,0,0,0,0,0,0,0,0,0,1,0,13302.3560537582,0.0209745807464785,0.0209745807464785,0.0209745807464785
"39",494988,"E02001045","E02001089",5,0,0,0,0,0,0,5,0,0,0,0,14083.3159611474,0.017941550545784,0.0897077527289202,0.0897077527289202
"40",494989,"E02001045","E02001091",1,0,0,0,1,0,0,0,0,0,0,0,15643.9580063934,0.0131311973144626,0.0131311973144626,0.0131311973144626
"41",494990,"E02001045","E02001092",3,0,0,0,0,0,0,1,0,0,2,0,15608.5704643682,0.0132244631293027,0.0396733893879081,0.0396733893879081
"42",494991,"E02001045","E02001093",3,0,0,0,0,0,0,3,0,0,0,0,16112.163394653,0.0119573935685991,0.0358721807057972,0.0358721807057972
"43",494992,"E02001045","E02001094",5,0,0,0,2,0,0,3,0,0,0,0,17056.9707414218,0.00989855044152236,0.0494927522076118,0.0494927522076118
"44",494993,"E02001045","E02001095",10,0,0,0,1,0,0,9,0,0,0,0,17243.6810787085,0.00953573441266719,0.0953573441266719,0.0953573441266719
"45",494994,"E02001045","E02001096",2,0,0,0,1,0,0,1,0,0,0,0,18415.4501844617,0.00754354656214004,0.0150870931242801,0.0150870931242801
"46",494995,"E02001045","E02001097",12,0,0,0,0,0,1,9,0,0,2,0,19774.1817857233,0.00574854119562244,0.0689824943474693,0.0689824943474693
"47",495237,"E02001045","E02006902",218,0,17,2,98,0,1,79,16,2,3,0,5568.07482411772,0.0985109303293919,21.4753828118074,19.4753828118074
"48",495238,"E02001045","E02006912",108,0,4,1,35,0,1,56,5,1,3,2,6424.48862689933,0.0830036638236809,8.96439569295754,7.96439569295754
"49",495239,"E02001045","E02006913",57,0,0,0,17,2,0,34,2,1,1,0,4318.63174281386,0.126476450159968,7.20915765911815,6.20915765911815
"50",495240,"E02001045","E02006914",25,0,2,0,10,1,0,10,0,0,2,0,7298.13579114301,0.0696968634772545,1.74242158693136,1.74242158693136
"51",495241,"E02001045","E02006915",25,0,0,0,4,0,0,13,4,2,2,0,4377.62851391735,0.124992879524116,3.1248219881029,1.1248219881029
"52",495242,"E02001045","E02006916",2,0,0,0,2,0,0,0,0,0,0,0,7641.02844643166,0.0650773645098437,0.130154729019687,0.130154729019687
"53",495243,"E02001045","E02006917",58,0,3,1,22,0,0,24,4,2,2,0,6929.32403238609,0.075032223518586,4.35186896407799,2.35186896407799
"54",495295,"E02001046","E02001045",107,0,1,0,2,5,2,37,3,1,55,1,1288.78532999772,0.231834883367203,24.8063325202907,23.8063325202907
"55",495296,"E02001046","E02001046",153,0,1,1,21,6,0,56,4,1,63,0,0,0.3,45.9,44.9
"56",495297,"E02001046","E02001047",57,0,0,0,8,0,0,24,0,1,24,0,1709.79300038727,0.213113284103578,12.1474571939039,11.1474571939039
"57",495298,"E02001046","E02001048",19,0,0,0,0,4,0,11,4,0,0,0,2419.40959720295,0.184915794245023,3.51340009065545,3.51340009065545
"58",495299,"E02001046","E02001049",13,0,0,0,4,1,0,6,1,0,1,0,2980.5029289171,0.165286757363251,2.14872784572227,2.14872784572227
"59",495300,"E02001046","E02001050",234,0,0,0,34,12,1,99,24,1,62,1,1188.67323927529,0.236523561036098,55.3465132824469,54.3465132824469
"60",495301,"E02001046","E02001051",42,0,0,0,5,1,0,23,5,1,7,0,1938.85341049241,0.203570379959437,8.54995595829634,7.54995595829634
"61",495302,"E02001046","E02001052",79,0,0,1,22,0,0,37,6,2,10,1,2205.26224618894,0.193007688600254,15.24760739942,13.24760739942
"62",495303,"E02001046","E02001053",34,0,0,0,4,0,0,22,3,0,5,0,2417.87049735401,0.184972723780796,6.28907260854706,6.28907260854706
"63",495304,"E02001046","E02001055",46,0,0,0,9,0,2,23,10,1,1,0,3643.6098656831,0.144757582936987,6.6588488151014,5.6588488151014
"64",495305,"E02001046","E02001056",11,0,0,0,1,0,0,5,1,0,4,0,4846.88993521581,0.113795671804098,1.25175238984508,1.25175238984508
"65",495306,"E02001046","E02001057",25,0,0,0,9,0,0,15,0,0,1,0,4536.55149038973,0.121082505464709,3.02706263661773,3.02706263661773
"66",495307,"E02001046","E02001059",64,0,0,0,15,0,0,35,9,1,4,0,5388.92228386584,0.102104624490665,6.53469596740253,5.53469596740253
"67",495308,"E02001046","E02001061",18,0,0,0,2,0,0,10,3,0,3,0,6857.35476493847,0.0761200364798,1.3701606566364,1.3701606566364
"68",495309,"E02001046","E02001062",63,0,0,0,21,0,0,37,1,2,2,0,6382.67906235979,0.0837006432109251,5.27314052228828,3.27314052228828
"69",495310,"E02001046","E02001063",12,0,0,0,3,1,0,6,1,1,0,0,7272.48347552061,0.0700553595041894,0.840664314050273,-0.159335685949727
"70",495311,"E02001046","E02001064",31,0,0,0,4,0,1,26,0,0,0,0,7060.51502394643,0.073089116447711,2.26576260987904,2.26576260987904
"71",495312,"E02001046","E02001065",2,0,0,0,0,0,0,2,0,0,0,0,7933.83254123408,0.0613758212210814,0.122751642442163,0.122751642442163
"72",495313,"E02001046","E02001066",45,0,1,0,11,0,0,29,3,0,1,0,7519.12257362859,0.0666835276018611,3.00075874208375,3.00075874208375
"73",495314,"E02001046","E02001067",5,0,0,0,3,0,0,2,0,0,0,0,8246.55917967254,0.0576546347854793,0.288273173927397,0.288273173927397
"74",495315,"E02001046","E02001068",3,0,0,0,0,0,0,3,0,0,0,0,8243.72382127387,0.0576873383678329,0.173062015103499,0.173062015103499
"75",495316,"E02001046","E02001069",5,0,0,0,5,0,0,0,0,0,0,0,8194.26677267851,0.0582607788592136,0.291303894296068,0.291303894296068
"76",495317,"E02001046","E02001070",12,0,0,0,4,0,0,6,0,1,1,0,8312.57292976109,0.0568984379782703,0.682781255739244,-0.317218744260756
"77",495318,"E02001046","E02001071",2,0,0,0,0,0,0,2,0,0,0,0,8621.67401243069,0.0534874834417236,0.106974966883447,0.106974966883447
"78",495319,"E02001046","E02001072",5,0,0,0,0,0,0,5,0,0,0,0,8974.41660408657,0.0498440511279212,0.249220255639606,0.249220255639606
"79",495320,"E02001046","E02001073",6,0,0,0,1,0,0,5,0,0,0,0,9994.3517948652,0.0406464749722197,0.243878849833318,0.243878849833318
"80",495321,"E02001046","E02001074",4,0,0,0,3,0,0,1,0,0,0,0,9194.49477038304,0.0476977163067577,0.190790865227031,0.190790865227031
"81",495322,"E02001046","E02001075",3,0,0,0,0,0,0,3,0,0,0,0,9418.54751887657,0.0456075362215205,0.136822608664562,0.136822608664562
"82",495323,"E02001046","E02001076",3,0,0,0,1,0,0,1,0,0,0,1,9216.64572487217,0.0474868736994716,0.142460621098415,0.142460621098415
"83",495324,"E02001046","E02001077",1,0,0,0,0,0,0,1,0,0,0,0,10334.2741500853,0.0379749846640764,0.0379749846640764,0.0379749846640764
"84",495325,"E02001046","E02001078",2,0,0,0,1,0,0,1,0,0,0,0,9991.14332906019,0.0406725659075203,0.0813451318150405,0.0813451318150405
"85",495326,"E02001046","E02001079",2,0,0,0,1,0,0,1,0,0,0,0,10090.0959357797,0.0398755473437675,0.079751094687535,0.079751094687535
"86",495327,"E02001046","E02001080",2,0,0,0,1,0,0,1,0,0,0,0,10020.2408798461,0.0404365588857978,0.0808731177715955,0.0808731177715955
"87",495328,"E02001046","E02001082",6,0,0,0,3,0,0,3,0,0,0,0,10761.1655163176,0.0348672980529751,0.209203788317851,0.209203788317851
"88",495329,"E02001046","E02001083",3,0,0,0,1,0,0,2,0,0,0,0,11077.672470688,0.0327285563771781,0.0981856691315344,0.0981856691315344
"89",495330,"E02001046","E02001084",1,0,0,0,0,0,0,1,0,0,0,0,11030.8528702271,0.0330364633219929,0.0330364633219929,0.0330364633219929
"90",495331,"E02001046","E02001085",5,0,1,0,1,0,0,2,1,0,0,0,11000.583150251,0.0332370708413956,0.166185354206978,0.166185354206978
"91",495332,"E02001046","E02001086",2,0,0,0,0,0,0,1,0,0,1,0,11825.3617824266,0.0281827508319705,0.056365501663941,0.056365501663941
"92",495333,"E02001046","E02001087",2,0,0,0,0,0,0,2,0,0,0,0,12304.4660020954,0.0256076023510406,0.0512152047020812,0.0512152047020812
"93",495334,"E02001046","E02001088",2,0,0,0,0,0,0,2,0,0,0,0,13638.9491763595,0.0196090783355019,0.0392181566710038,0.0392181566710038
"94",495335,"E02001046","E02001089",7,0,0,0,1,0,0,2,0,0,4,0,13042.8079142081,0.0220921179666386,0.15464482576647,0.15464482576647
"95",495336,"E02001046","E02001090",5,0,0,0,2,0,0,2,0,0,1,0,13393.6790538325,0.0205949657299824,0.102974828649912,0.102974828649912
"96",495337,"E02001046","E02001091",4,0,0,0,0,0,0,4,0,0,0,0,14920.165136432,0.015176519251733,0.060706077006932,0.060706077006932
"97",495338,"E02001046","E02001092",3,0,0,0,1,0,0,2,0,0,0,0,14775.8341288875,0.0156209919712741,0.0468629759138224,0.0468629759138224
"98",495339,"E02001046","E02001093",7,0,0,0,1,0,0,2,2,0,1,1,15172.9918393249,0.0144281925249086,0.10099734767436,0.10099734767436
"99",495340,"E02001046","E02001094",3,0,0,0,2,0,0,1,0,0,0,0,16142.9309568441,0.0118840395225302,0.0356521185675905,0.0356521185675905
"100",495341,"E02001046","E02001095",10,0,0,0,2,0,0,6,1,0,1,0,16408.2974810889,0.011269759392427,0.11269759392427,0.11269759392427
"101",495342,"E02001046","E02001096",1,0,0,0,0,0,0,1,0,0,0,0,17436.1138608221,0.00917570933337512,0.00917570933337512,0.00917570933337512
"102",495343,"E02001046","E02001097",23,0,0,1,2,0,1,15,3,1,0,0,18885.0309142463,0.00686733623144166,0.157948733323158,-0.842051266676842
"103",495604,"E02001046","E02006902",266,0,4,0,141,0,0,92,18,5,6,0,4682.93029602885,0.117589108390741,31.278702831937,26.278702831937
"104",495606,"E02001046","E02006912",167,0,0,2,66,2,2,65,14,2,14,0,5461.28259841464,0.100637600974402,16.8064793627251,14.8064793627251
"105",495607,"E02001046","E02006913",97,0,1,0,31,3,0,40,4,9,9,0,3447.22663006231,0.150556307231059,14.6039618014127,5.60396180141271
"106",495608,"E02001046","E02006914",39,0,3,0,18,0,0,11,7,0,0,0,6427.27815348557,0.082957368553672,3.23533737359321,3.23533737359321
"107",495609,"E02001046","E02006915",35,0,0,0,5,0,0,17,3,3,7,0,3748.53134779179,0.141751596466945,4.96130587634307,1.96130587634307
"108",495610,"E02001046","E02006916",6,0,0,0,4,0,0,2,0,0,0,0,6914.16417906225,0.0752600642478683,0.45156038548721,0.45156038548721
"109",495611,"E02001046","E02006917",88,0,1,3,47,0,0,18,8,4,7,0,6174.33215422241,0.0872620834547767,7.67906334402035,3.67906334402035
"110",495662,"E02001047","E02001045",49,0,0,0,3,3,1,28,3,2,8,1,2734.09261419768,0.1736364858025,8.5081878043225,6.5081878043225
"111",495663,"E02001047","E02001046",61,0,0,0,7,2,0,30,7,1,14,0,1709.79300038727,0.213113284103578,12.9999103303182,11.9999103303182
"112",495664,"E02001047","E02001047",175,0,0,2,22,1,1,52,7,3,84,3,0,0.3,52.5,49.5
"113",495665,"E02001047","E02001048",7,0,0,0,1,0,0,4,1,0,1,0,4123.52295245506,0.131509341111737,0.920565387782157,0.920565387782157
"114",495666,"E02001047","E02001049",55,0,0,0,12,2,0,12,6,0,23,0,1423.07267236111,0.225691255729956,12.4130190651476,12.4130190651476
