"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest"
"910592","E02002330","E02002371",6,0,0,0,0,0,0,5,0,0,1,0,14923.9434465399,0.0151650552645102,0.0909903315870611,0.0909903315870611,-1.40057715899652,53.9291452967314,-1.5308489430153,53.819302585339
"910593","E02002330","E02002373",4,0,0,0,0,0,0,4,0,0,0,0,17115.4222123141,0.00978350722959214,0.0391340289183686,0.0391340289183686,-1.40057715899652,53.9291452967314,-1.58138038381865,53.8184752721075
"910594","E02002330","E02002374",3,0,0,0,1,0,0,2,0,0,0,0,17964.5408571966,0.00825545590193749,0.0247663677058125,0.0247663677058125,-1.40057715899652,53.9291452967314,-1.5978264373095,53.8174200784987
"910595","E02002330","E02002375",1,0,0,0,0,0,0,1,0,0,0,0,19175.0317822151,0.00648036034888052,0.00648036034888052,0.00648036034888052,-1.40057715899652,53.9291452967314,-1.62700461465142,53.8205240553097
"910596","E02002330","E02002376",3,0,0,0,0,0,0,3,0,0,0,0,14254.5550631429,0.0173374943893547,0.0520124831680642,0.0520124831680642,-1.40057715899652,53.9291452967314,-1.50064422987246,53.815492733041
"910597","E02002330","E02002377",2,0,0,0,0,0,0,1,1,0,0,0,14876.986935758,0.0153081457319528,0.0306162914639055,0.0306162914639055,-1.40057715899652,53.9291452967314,-1.5194226834335,53.8153651938109
"910598","E02002330","E02002379",7,0,0,0,0,0,0,7,0,0,0,0,13438.3668758425,0.020411717015831,0.142882019110817,0.142882019110817,-1.40057715899652,53.9291452967314,-1.4640100536313,53.8143288629921
"910599","E02002330","E02002380",1,0,0,0,0,0,0,1,0,0,0,0,20272.4180480889,0.00520333031112989,0.00520333031112989,0.00520333031112989,-1.40057715899652,53.9291452967314,-1.64134645619617,53.8153341658067
"910600","E02002330","E02002381",2,0,0,0,0,0,0,2,0,0,0,0,20831.8374433257,0.00465254781146093,0.00930509562292186,0.00930509562292186,-1.40057715899652,53.9291452967314,-1.65509780344017,53.817642498621
"910601","E02002330","E02002382",2,0,0,0,0,0,0,2,0,0,0,0,15052.6665347954,0.0147796194520761,0.0295592389041523,0.0295592389041523,-1.40057715899652,53.9291452967314,-1.5121470391715,53.8110109367291
"910602","E02002330","E02002383",1,0,0,0,0,0,0,1,0,0,0,0,17277.0896869713,0.00947223167962073,0.00947223167962073,0.00947223167962073,-1.40057715899652,53.9291452967314,-1.57110811082578,53.811011703723
"910603","E02002330","E02002384",16,0,0,0,1,0,0,11,3,1,0,0,16343.3735277132,0.0114170490523252,0.182672784837204,-0.817327215162796,-1.40057715899652,53.9291452967314,-1.54508502189348,53.809633781384
"910604","E02002330","E02002385",3,0,0,0,0,0,0,2,0,0,1,0,18028.2432530102,0.00815094461366916,0.0244528338410075,0.0244528338410075,-1.40057715899652,53.9291452967314,-1.58247648394845,53.8079116015653
"910605","E02002330","E02002386",11,0,0,0,0,0,1,9,1,0,0,0,13613.4833669714,0.0197092053107385,0.216801258418123,0.216801258418123,-1.40057715899652,53.9291452967314,-1.42379826974313,53.8075625093894
"910606","E02002330","E02002387",4,0,0,0,0,0,0,4,0,0,0,0,20436.0226337087,0.00503582793154383,0.0201433117261753,0.0201433117261753,-1.40057715899652,53.9291452967314,-1.63524004385711,53.8087218219684
"910607","E02002330","E02002388",2,0,0,0,0,0,0,2,0,0,0,0,19216.0704391391,0.00642738897663341,0.0128547779532668,0.0128547779532668,-1.40057715899652,53.9291452967314,-1.61025091948625,53.8088425684194
"910608","E02002330","E02002389",1,0,0,0,0,0,0,1,0,0,0,0,14689.3108146545,0.0158936603839314,0.0158936603839314,0.0158936603839314,-1.40057715899652,53.9291452967314,-1.49129052948039,53.8084967191831
"910609","E02002330","E02002390",6,0,0,0,0,0,0,6,0,0,0,0,14398.1341562729,0.0168467143446484,0.101080286067891,0.101080286067891,-1.40057715899652,53.9291452967314,-1.4693922425744,53.8062954253642
"910610","E02002330","E02002391",4,0,0,0,0,0,0,2,0,0,2,0,22324.806598937,0.00345154223180249,0.01380616892721,0.01380616892721,-1.40057715899652,53.9291452967314,-1.66820977927537,53.8056954081556
"910611","E02002330","E02002392",37,0,0,2,1,1,0,28,2,0,3,0,17410.9245998028,0.00922205183618818,0.341215917938963,0.341215917938963,-1.40057715899652,53.9291452967314,-1.56091491478,53.8046175700908
"910612","E02002330","E02002393",30,0,0,0,1,0,1,27,1,0,0,0,16060.837624652,0.01208077021176,0.362423106352801,0.362423106352801,-1.40057715899652,53.9291452967314,-1.52383100698979,53.8045241440138
"910613","E02002330","E02002394",7,0,0,0,0,0,0,7,0,0,0,0,15751.1905875386,0.0128525772720451,0.0899680409043157,0.0899680409043157,-1.40057715899652,53.9291452967314,-1.50963835146957,53.8031039327243
"910614","E02002330","E02002395",2,0,0,0,0,0,0,2,0,0,0,0,23732.4868162156,0.00260461562468181,0.00520923124936362,0.00520923124936362,-1.40057715899652,53.9291452967314,-1.69324268979359,53.8043391989309
"910615","E02002330","E02002396",5,0,0,0,0,0,0,1,2,0,2,0,19858.943669706,0.00565191112804433,0.0282595556402217,0.0282595556402217,-1.40057715899652,53.9291452967314,-1.6110868470057,53.8011739849286
"910616","E02002330","E02002397",1,0,0,0,0,0,0,1,0,0,0,0,21674.7195132066,0.00393078272224094,0.00393078272224094,0.00393078272224094,-1.40057715899652,53.9291452967314,-1.64602027496637,53.7991338976688
"910617","E02002330","E02002398",3,0,0,0,0,0,0,3,0,0,0,0,16746.0205463325,0.0105336865584198,0.0316010596752595,0.0316010596752595,-1.40057715899652,53.9291452967314,-1.46079505899255,53.7829085207995
"910618","E02002330","E02002399",6,0,0,0,0,0,0,5,1,0,0,0,17148.7910798177,0.00971843170947431,0.0583105902568458,0.0583105902568458,-1.40057715899652,53.9291452967314,-1.50265604973017,53.7873207500411
"910619","E02002330","E02002400",22,0,0,0,1,0,1,18,0,1,0,1,18814.8888774848,0.00696435292533454,0.15321576435736,-0.84678423564264,-1.40057715899652,53.9291452967314,-1.57948741205632,53.7971878792026
"910620","E02002330","E02002402",12,0,0,0,0,0,0,12,0,0,0,0,15405.4272232869,0.0137728192452105,0.165273830942526,0.165273830942526,-1.40057715899652,53.9291452967314,-1.43685321190834,53.7923560632943
"910621","E02002330","E02002403",11,0,0,0,0,0,0,10,1,0,0,0,14940.1961011981,0.0151158408131742,0.166274248944917,0.166274248944917,-1.40057715899652,53.9291452967314,-1.38746275886324,53.7950905830441
"910622","E02002330","E02002404",4,0,0,0,0,0,0,4,0,0,0,0,17079.6494148172,0.00985375491013261,0.0394150196405305,0.0394150196405305,-1.40057715899652,53.9291452967314,-1.51850933573061,53.7923791486969
"910623","E02002330","E02002405",3,0,0,0,0,0,0,3,0,0,0,0,24269.4829562998,0.00233937987460681,0.00701813962382044,0.00701813962382044,-1.40057715899652,53.9291452967314,-1.68442047000305,53.7897676904798
"910624","E02002330","E02002406",4,0,0,0,0,0,0,4,0,0,0,0,15931.8125957774,0.0123965716618515,0.0495862866474059,0.0495862866474059,-1.40057715899652,53.9291452967314,-1.36959406770728,53.7871307635905
"910625","E02002330","E02002408",4,0,0,0,0,0,0,4,0,0,0,0,22813.9345603618,0.00312988280883339,0.0125195312353336,0.0125195312353336,-1.40057715899652,53.9291452967314,-1.65315635409102,53.7886108816693
"910626","E02002330","E02002409",1,0,0,0,0,0,0,0,0,0,1,0,22244.1233594076,0.00350769035641932,0.00350769035641932,0.00350769035641932,-1.40057715899652,53.9291452967314,-1.63066948181263,53.7826349539878
"910627","E02002330","E02002411",17,0,0,0,1,0,0,14,2,0,0,0,19225.44736831,0.0064153464381284,0.109060889448183,0.109060889448183,-1.40057715899652,53.9291452967314,-1.56121455363363,53.7847868814315
"910628","E02002330","E02002412",8,0,0,0,0,0,0,8,0,0,0,0,21741.0309805,0.00387899569469397,0.0310319655575518,0.0310319655575518,-1.40057715899652,53.9291452967314,-1.6064431662039,53.7762799406634
